=== SINGLE-PASS EXPORT: Part 3 ===
  Ticks: 300000, Seed: 271
  Frame interval: every 4 ticks
  Timeline sample: every 100 ticks
  Config: spread=8.0, sensors=6ips, actions=3, max_age=15000
  Part 3 features: muscle_speed=True, bone_reach=True, seasons=True, kin_recognition=True, attack_dmg=15.0
  Output: C:\Users\shane\primordial\..\shaneconner-site\data\full-frames-p3

  Tick    1000: pop=175, species=39, gen=  6, frames=   250, events=  51, 21 t/s
  Tick  197000: pop= 92, species=16, gen=166, frames= 49250, events=11631, 7 t/s
  Tick  198000: pop= 91, species=21, gen=166, frames= 49500, events=11650, 7 t/s
  Tick  199000: pop= 85, species=17, gen=166, frames= 49750, events=11662, 7 t/s
  Tick  200000: pop= 80, species=13, gen=167, frames= 50000, events=11675, 7 t/s
  Tick  201000: pop=107, species=22, gen=168, frames= 50250, events=11693, 7 t/s
  Tick  202000: pop=140, species=25, gen=168, frames= 50500, events=11721, 7 t/s
  Tick  203000: pop=148, species=28, gen=167, frames= 50750, events=11750, 8 t/s
  Tick  204000: pop= 94, species=20, gen=166, frames= 51000, events=11772, 8 t/s
  Tick  205000: pop= 85, species=21, gen=166, frames= 51250, events=11791, 8 t/s
  Tick  206000: pop=108, species=20, gen=170, frames= 51500, events=11811, 8 t/s
  Tick  207000: pop= 99, species=19, gen=171, frames= 51750, events=11826, 8 t/s
  Tick  208000: pop= 94, species=19, gen=172, frames= 52000, events=11843, 8 t/s
  Tick  209000: pop=109, species=22, gen=174, frames= 52250, events=11865, 8 t/s
  Tick  210000: pop=151, species=29, gen=177, frames= 52500, events=11894, 8 t/s
  Tick  211000: pop=161, species=30, gen=179, frames= 52750, events=11929, 8 t/s
  Tick  212000: pop=166, species=36, gen=180, frames= 53000, events=11974, 8 t/s
  Tick  213000: pop=172, species=30, gen=177, frames= 53250, events=12008, 8 t/s
  Tick  214000: pop=163, species=30, gen=177, frames= 53500, events=12054, 8 t/s
  Tick  215000: pop=162, species=25, gen=177, frames= 53750, events=12096, 8 t/s
  Tick  216000: pop=131, species=19, gen=177, frames= 54000, events=12132, 8 t/s
  Tick  217000: pop=122, species=21, gen=179, frames= 54250, events=12152, 8 t/s
  Tick  218000: pop=123, species=20, gen=178, frames= 54500, events=12175, 8 t/s
  Tick  219000: pop=142, species=23, gen=179, frames= 54750, events=12200, 8 t/s
  Tick  220000: pop=149, species=27, gen=180, frames= 55000, events=12236, 8 t/s
  Tick  221000: pop=164, species=30, gen=181, frames= 55250, events=12266, 8 t/s
  Tick  222000: pop=186, species=28, gen=181, frames= 55500, events=12299, 8 t/s
  Tick  223000: pop=133, species=28, gen=181, frames= 55750, events=12337, 8 t/s
  Tick  224000: pop=117, species=26, gen=181, frames= 56000, events=12362, 8 t/s
  Tick  225000: pop= 99, species=20, gen=182, frames= 56250, events=12383, 8 t/s
  Tick  226000: pop=111, species=27, gen=183, frames= 56500, events=12406, 8 t/s
  Tick  227000: pop=123, species=17, gen=183, frames= 56750, events=12422, 8 t/s
  Tick  228000: pop=130, species=18, gen=184, frames= 57000, events=12447, 8 t/s
  Tick  229000: pop=110, species=18, gen=183, frames= 57250, events=12467, 8 t/s
  Tick  230000: pop=118, species=20, gen=183, frames= 57500, events=12486, 8 t/s
  Tick  231000: pop=128, species=21, gen=184, frames= 57750, events=12511, 8 t/s
  Tick  232000: pop=183, species=33, gen=186, frames= 58000, events=12549, 8 t/s
  Tick  233000: pop=151, species=28, gen=186, frames= 58250, events=12583, 8 t/s
  Tick  234000: pop=121, species=32, gen=187, frames= 58500, events=12609, 8 t/s
  Tick  235000: pop=130, species=36, gen=188, frames= 58750, events=12644, 8 t/s
  Tick  236000: pop=125, species=32, gen=188, frames= 59000, events=12673, 8 t/s
  Tick  237000: pop=111, species=25, gen=189, frames= 59250, events=12703, 8 t/s
  Tick  238000: pop= 93, species=25, gen=190, frames= 59500, events=12730, 8 t/s
  Tick  239000: pop= 97, species=23, gen=191, frames= 59750, events=12740, 8 t/s
  Tick  240000: pop=107, species=28, gen=194, frames= 60000, events=12764, 8 t/s
  Tick  241000: pop=109, species=31, gen=193, frames= 60250, events=12786, 8 t/s
  Tick  242000: pop=135, species=34, gen=193, frames= 60500, events=12821, 8 t/s
  Tick  243000: pop=154, species=34, gen=194, frames= 60750, events=12861, 8 t/s
  Tick  244000: pop=161, species=34, gen=194, frames= 61000, events=12906, 8 t/s
  Tick  245000: pop=131, species=27, gen=194, frames= 61250, events=12939, 8 t/s
  Tick  246000: pop=121, species=27, gen=194, frames= 61500, events=12975, 8 t/s
  Tick  247000: pop= 93, species=19, gen=193, frames= 61750, events=12997, 8 t/s
  Tick  248000: pop= 95, species=21, gen=193, frames= 62000, events=13017, 8 t/s
  Tick  249000: pop=107, species=16, gen=194, frames= 62250, events=13034, 8 t/s
  Tick  250000: pop=121, species=28, gen=196, frames= 62500, events=13066, 8 t/s
  Tick  251000: pop=102, species=24, gen=196, frames= 62750, events=13090, 8 t/s
  Tick  252000: pop= 89, species=18, gen=196, frames= 63000, events=13115, 8 t/s
  Tick  253000: pop=132, species=32, gen=198, frames= 63250, events=13150, 8 t/s
  Tick  254000: pop=159, species=25, gen=193, frames= 63500, events=13195, 8 t/s
  Tick  255000: pop=153, species=22, gen=193, frames= 63750, events=13224, 8 t/s
  Tick  256000: pop=124, species=19, gen=194, frames= 64000, events=13248, 8 t/s
  Tick  257000: pop=110, species=22, gen=193, frames= 64250, events=13282, 8 t/s
  Tick  258000: pop= 99, species=18, gen=195, frames= 64500, events=13299, 8 t/s
  Tick  259000: pop= 89, species=21, gen=196, frames= 64750, events=13315, 8 t/s
  Tick  260000: pop=104, species=18, gen=196, frames= 65000, events=13335, 8 t/s
  Tick  261000: pop=131, species=19, gen=194, frames= 65250, events=13361, 8 t/s
  Tick  262000: pop=120, species=23, gen=194, frames= 65500, events=13387, 8 t/s
  Tick  263000: pop=122, species=20, gen=193, frames= 65750, events=13410, 8 t/s
  Tick  264000: pop=151, species=29, gen=193, frames= 66000, events=13455, 8 t/s
  Tick  265000: pop=163, species=27, gen=194, frames= 66250, events=13493, 8 t/s
  Tick  266000: pop=131, species=17, gen=195, frames= 66500, events=13518, 8 t/s
  Tick  267000: pop=104, species=17, gen=194, frames= 66750, events=13538, 8 t/s
  Tick  268000: pop= 90, species=10, gen=194, frames= 67000, events=13550, 8 t/s
  Tick  269000: pop= 96, species=12, gen=194, frames= 67250, events=13563, 8 t/s
  Tick  270000: pop=123, species=17, gen=195, frames= 67500, events=13582, 8 t/s
  Tick  271000: pop=134, species=25, gen=195, frames= 67750, events=13615, 8 t/s
  Tick  272000: pop=181, species=28, gen=195, frames= 68000, events=13647, 8 t/s
  Tick  273000: pop=153, species=26, gen=195, frames= 68250, events=13676, 8 t/s
  Tick  274000: pop=148, species=24, gen=196, frames= 68500, events=13707, 8 t/s
  Tick  275000: pop=119, species=26, gen=196, frames= 68750, events=13739, 8 t/s
  Tick  276000: pop=106, species=24, gen=196, frames= 69000, events=13755, 8 t/s
  Tick  277000: pop= 90, species=24, gen=197, frames= 69250, events=13781, 8 t/s
  Tick  278000: pop= 89, species=24, gen=196, frames= 69500, events=13797, 8 t/s
  Tick  279000: pop= 67, species=21, gen=197, frames= 69750, events=13814, 8 t/s
  Tick  280000: pop= 82, species=24, gen=196, frames= 70000, events=13836, 8 t/s
  Tick  281000: pop=122, species=24, gen=196, frames= 70250, events=13855, 8 t/s
  Tick  282000: pop=100, species=30, gen=197, frames= 70500, events=13882, 8 t/s
  Tick  283000: pop= 79, species=21, gen=197, frames= 70750, events=13893, 8 t/s
  Tick  284000: pop=129, species=28, gen=196, frames= 71000, events=13920, 8 t/s
  Tick  285000: pop=144, species=28, gen=197, frames= 71250, events=13957, 8 t/s
  Tick  286000: pop=127, species=27, gen=196, frames= 71500, events=13987, 8 t/s
  Tick  287000: pop=107, species=30, gen=199, frames= 71750, events=14019, 8 t/s
  Tick  288000: pop= 83, species=31, gen=200, frames= 72000, events=14037, 8 t/s
  Tick  289000: pop= 89, species=24, gen=201, frames= 72250, events=14057, 8 t/s
  Tick  290000: pop=108, species=29, gen=203, frames= 72500, events=14082, 8 t/s
  Tick  291000: pop=134, species=40, gen=205, frames= 72750, events=14123, 8 t/s
  Tick  292000: pop=147, species=37, gen=208, frames= 73000, events=14161, 8 t/s
  Tick  293000: pop=132, species=38, gen=207, frames= 73250, events=14202, 8 t/s
  Tick  294000: pop=122, species=35, gen=208, frames= 73500, events=14247, 8 t/s
  Tick  295000: pop= 83, species=28, gen=208, frames= 73750, events=14271, 8 t/s
  Tick  296000: pop= 72, species=28, gen=202, frames= 74000, events=14290, 8 t/s
  Tick  297000: pop= 74, species=27, gen=202, frames= 74250, events=14310, 8 t/s
  Tick  298000: pop= 77, species=28, gen=202, frames= 74500, events=14328, 8 t/s
  Tick  299000: pop= 85, species=31, gen=203, frames= 74750, events=14350, 8 t/s
  Tick  300000: pop= 97, species=38, gen=203, frames= 75000, events=14384, 8 t/s

Simulation complete: 35854s (597.6 min)
  75000 frames captured
  14384 events detected

Exporting timeline data...
  Timeline: C:\Users\shane\primordial\..\shaneconner-site\data\primordial-timeline-p3.json (452 KB)
  Events: C:\Users\shane\primordial\..\shaneconner-site\data\primordial-events-p3.json (14384 events)

Selecting narrative clips...
  9 clips selected:
    [genesis] Genesis (ticks 1-501)
    [first-split] First Divergence (ticks 502-1502)
    [boom] The Bloom (ticks 1503-2503)
    [diversity] Radiation (ticks 2972-3972)
    [generation-milestone] Generational Shift (ticks 159712-160712)
    [equilibrium] Balance (ticks 262172-263172)
    [late-diversity] Late Radiation (ticks 292512-293512)
    [deep-time] Deep Time (ticks 293513-294513)
    [body-evolution] Body Diversity (ticks 298877-299877)

Extracting clip frames from archive...
  WARNING: No frames for genesis
  first-split: 250 frames (11210 KB)
  WARNING: No frames for boom
  diversity: 251 frames (22156 KB)
  generation-milestone: 251 frames (23440 KB)
  equilibrium: 251 frames (20464 KB)
  late-diversity: 251 frames (27799 KB)
  WARNING: No frames for deep-time
  WARNING: No frames for body-evolution

==================================================
  Part 3 export complete
  Total time: 35965s (599.4 min)
  Frames: 75000 (6874 MB)
  Timeline: 27799 KB
  Clips: 9
  Events: 14384
==================================================

Full frames: C:\Users\shane\primordial\..\shaneconner-site\data\full-frames-p3/
Timeline:    C:\Users\shane\primordial\..\shaneconner-site\data\primordial-timeline-p3.json
